Framework,Scenario,Threads,RunID,Throughput,AvgLatency,TailLatency99,ErrorRate,AvgCPU,AvgMemoryMiB
express,fibonacci,200,6,550.3916666666667,113.0415158901994,228.0,0.0,98.25970338983049,271.1474576271187
express,fibonacci,200,7,552.3833333333333,111.68910478834142,275.0,0.0,98.52775423728812,269.30677966101695
express,fibonacci,200,8,557.8333333333334,108.43114729608605,254.0,0.0,98.55029661016948,270.37457627118647
express,fibonacci,200,9,540.475,119.71155002544059,244.0,0.0,99.09745762711864,284.77627118644074
express,fibonacci,200,10,539.7416666666667,120.22168012475103,285.0,0.0,97.83716101694917,269.2457627118644
express,fibonacci,200,11,547.75,114.79554237030275,272.0,0.0,98.5970338983051,268.6271186440678
express,fibonacci,200,12,533.6,124.34540542228885,263.6900000000023,0.0,98.44669491525423,269.2118644067797
express,fibonacci,200,13,548.3083333333333,114.43144824232108,248.0,0.0,98.86991525423728,272.7474576271186
express,fibonacci,200,14,542.9916666666667,117.88145919980356,267.0,0.0,98.72550847457627,267.7881355932203
express,fibonacci,200,15,567.1583333333333,102.27821449036865,248.41999999999825,0.0,97.85207627118645,271.4728813559322
express,fibonacci,200,16,549.2583333333333,113.77944500917904,236.0,0.0,98.98474576271185,270.09661016949156
express,fibonacci,200,17,546.7833333333333,115.4077483463895,270.0,0.0,98.17614406779661,268.83898305084745
express,fibonacci,200,18,546.5916666666667,115.56923968227348,273.0,0.0,98.85317796610168,270.3169491525424
express,fibonacci,200,19,567.2,102.11758051245886,244.36999999999534,0.0,98.16580508474576,269.52542372881356
express,fibonacci,200,20,547.0666666666667,115.22859797708993,257.0,0.0,98.53601694915254,269.7728813559322
express,fibonacci,200,21,521.1666666666666,133.36010553245922,313.0,0.0,98.28567796610169,269.0118644067797
express,fibonacci,200,22,573.025,98.68096214533979,216.0,0.0,98.47843220338984,274.97118644067797
express,fibonacci,200,23,573.0333333333333,98.64402885230643,226.36999999999534,0.0,98.6067372881356,272.4169491525424
express,fibonacci,200,24,553.1333333333333,111.24879474508859,231.0,0.0,98.73885593220338,272.94406779661017
express,fibonacci,200,25,562.625,105.12647559801526,255.0,0.0,98.57266949152542,268.206779661017
express,fibonacci,200,26,552.6583333333333,111.4182511799032,227.81999999999243,0.0,99.06004237288136,270.5813559322034
express,fibonacci,200,27,567.3583333333333,102.1609065405461,235.0,0.0,98.30360169491524,268.5677966101695
express,fibonacci,200,28,525.1833333333333,130.42231284313414,233.0,0.0,98.69364406779663,270.1966101694915
express,fibonacci,200,29,553.3166666666667,111.00218380071689,243.02999999999884,0.0,98.24449152542373,267.0389830508475
express,fibonacci,200,30,551.7333333333333,112.13501389560174,235.0,0.0,98.79737288135594,267.2610169491525
express,fibonacci,200,31,552.5166666666667,111.44936804319629,227.99000000000524,0.0,98.58241525423728,276.67288135593225
express,fibonacci,200,32,553.0083333333333,111.31839484034298,257.0,0.0,98.9174152542373,272.1898305084746
express,fibonacci,200,33,547.75,114.7604898828541,236.0,0.0,98.83872881355933,267.8135593220339
